Year,Entity,Number of people affected from drought,Number of people left homeless from drought,Reconstruction costs from drought,Insured damages against drought,Total economic damages from drought,Number of people left homeless from earthquakes,Number of total people affected by earthquakes,Reconstruction costs from earthquakes,Insured damages against earthquakes,Total economic damages from earthquakes,Number of people affected by volcanic activity,Number of people left homeless from volcanic activity,Number of total people affected by volcanic activity,Reconstruction costs from volcanic activity,Insured damages against volcanic activity,Total economic damages from volcanic activity,Number of people left homeless from floods,Number of total people affected by floods,Reconstruction costs from floods,Insured damages against floods,Total economic damages from floods,"Number of people affected by mass movements per 100,000",Number of people left homeless from storms,Number of total people affected by storms,Reconstruction costs from storms,Insured damages against storms,Total economic damages from storms,Number of people left homeless from landslides,Number of total people affected by landslides,Reconstruction costs from landslides,Insured damages against landslides,Total economic damages from landslides,Number of people left homeless from wildfires,Number of total people affected by wildfires,Reconstruction costs from wildfires,Insured damages against wildfires,Total economic damages from wildfires,Total economic damages from disasters as a share of GDP,Total economic damages from drought as a share of GDP,Total economic damages from earthquakes as a share of GDP,Total economic damages from extreme temperatures as a share of GDP,Total economic damages from floods as a share of GDP,Total economic damages from landslides as a share of GDP,Total economic damages from storms as a share of GDP,Total economic damages from volcanic activity as a share of GDP
1990,Mauritius,0,0,0,0,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1080,0,0,13540,0,0,0,0,0,0,0,0,0,0,0.783417591,0.402881377,0,0,0,0,0.380536215,0
2000,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,105,0,0,5000,0,0,0,0,0,0,0,0,0,0,0.103277827,0,0,0,0,0,0.103277827,0
2010,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,200,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001648851,0,0,0,0.001648851,0,0,0
1910,Mexico,0,0,,,,0,2.2,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Mexico,0,0,,,,0,16.7,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Mexico,0,0,,,,200,212,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Mexico,0,0,,,,0,0,,,,300,0,300,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Mexico,0,0,,,,0,30,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Mexico,0,0,0,0,0,0,450,0,0,540,0,0,0,0,0,0,0,834.5,0,0,850,0,1000,36106.9,0,0,20800,0,0,0,0,0,0,0,0,0,0,0.085308249,0,0.002311463,0,0.003851257,0,0.079145529,0
1970,Mexico,0,0,0,0,0,0,1177.5,0,0,3000,0,0,0,0,0,0,0,31709.7,0,0,12430,0,10000,62640,0,0,10000,0,0,0,0,0,0,0,0,0,0,0.033922606,0,0.002229472,0,0.020460457,0,0.011232677,0
1980,Mexico,0,0,0,0,0,10000,214020.9,0,0,410900,2500,1500,4050,0,0,11700,20,12541.2,0,0,20160,0,5750,46750,0,0,44840,0,0,0,0,0,0,0,0,0,8320,0.254974715,0,0.210468099,0.000033,0.010448741,0,0.02392923,0.006337719
1990,Mexico,6500,0,0,0,140000,1227.5,22205,0,0,41270,7710.8,0,7710.8,0,0,0,16279,98055,0,5500,119540,0,13995,99784.5,0,34000,463971,12,12,0,0,0,0,0,0,0,800,0.179013028,0.033642012,0.007110124,0.002227759,0.022619246,0,0.113261941,0
2000,Mexico,0,0,0,0,21000,0,17860.4,0,2500,11630,4130,0,4130,0,0,0,300,189612.4,0,70000,300360,0,33080,461050.1,0,295500,996970,0,20,0,0,0,0,0,0,0,0,0.14741479,0.002719834,0.001594601,0,0.028544169,0,0.114556186,0
2010,Mexico,250000,0,0,0,0,400,156103,0,296000,977000,0,0,0,0,0,0,4612,156056.2,0,0,4100,0,234.1,156316.1,0,273200,1690000.5,0,0,0,0,0,0,0,0,0,0,0.23254703,0,0.085154888,0.004235529,0.000383063,0,0.14277355,0
1980,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20.3,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Micronesia,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5,863.1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Micronesia,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.9,2895.7,0,0,35400,0,2550,2558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293221634,0,0,0,0.293221634,0,0,0
2000,Moldova,21039.4,0,0,0,40600,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,858.4,0,0,260000,0,0,3160,0,0,0,0,0,0,0,0,0,0,1.198685058,0.922477896,0,0,0.030947311,0,0.24525985,0
2010,Moldova,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,Mongolia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,27000,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,1000,0,0,0,0,0,0,506.1,0,0,182280,13.28746006,0,0,0,0,0,0.130140275,0
2000,Mongolia,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1665,0,0,36.4,0,0,191100,0,0,8000,0,0,0,0,0,0,0,0,0,0,0.840825279,0,0,0.135257469,0.001897542,0,0.703670268,0
2010,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
1920,Montserrat,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Montserrat,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Montserrat,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Montserrat,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1204,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Montserrat,0,0,0,0,0,0,0,0,0,0,1300,0,1300,0,0,800,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Montserrat,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,Morocco,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1910,Morocco,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Morocco,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Morocco,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Morocco,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Morocco,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Morocco,0,0,0,0,0,0,2500,0,0,12000,0,0,0,0,0,0,0,8282.3,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606016816,0,0.589058036,0,0.01695878,0,0,0
1970,Morocco,13700,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3873.2,32273.6,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076057416,0.000229535,0,0,0.075827881,0,0,0
1980,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.6,1221.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Morocco,27500,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,9800,0,0,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231228472,0.216179718,0,0,0.015048754,0,0,0
2000,Morocco,0,0,0,0,0,1253.9,1346.5,0,0,40000,0,0,0,0,0,0,0,5788.7,0,0,20220,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.115210588,0,0.067084806,0.000208198,0.047909563,0,0.00000802,0
2010,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7723.8,0,0,2900,0,0,11700,0,0,30000,0,0,0,0,0,0,0,0,0,0,0.030363688,0,0,0,0.003111029,0,0.027252659,0
1950,Mozambique,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Mozambique,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,121500,0,0,11850,0,2500,10505.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Mozambique,475800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,50,0,0,35400,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Mozambique,330000,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,47000,0,0,1240,0,50000,270200,1400,0,1455,250,250,0,0,0,0,0,0,0,0,0.058451738,0,0,0,0.020748249,0,0.03770349,0
2000,Mozambique,323950,0,0,0,0,144,147.6,0,0,0,0,0,0,0,0,0,1300,622512.6,0,150,62620,0,6655,41831.7,0,0,2400,0,0,0,0,0,300,302.3,0,0,0,0.991619496,0,0,0,0.971405272,0,0.020214224,0
2010,Mozambique,276000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7715,94469.3,0,0,3510,0,150,276335.4,0,15000,224850,0,30,0,0,0,0,0,0,0,0,1.493557307,0,0,0,0.021109055,0,1.472448252,0
1900,Myanmar,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1910,Myanmar,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Myanmar,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,4000,4000,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Myanmar,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,15000,15000,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Myanmar,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Myanmar,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3020,74771.9,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,161300,0,0,0,0,5400,13200,0,0,0,0,0,0,0,0,0,3000,0,0,1100,0,0,0,0,0,0,0,0
1980,Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,2000,4858.8,0,0,0,0,0,0,0,0,0,0,0
1990,Myanmar,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,9616.9,58396.4,0,0,13495.5,0,0,6497,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Myanmar,0,0,0,0,0,320,1570,0,0,50000,0,0,0,0,0,0,798.7,23041.4,0,0,0,0,2500,250510.6,0,0,400068.8,0,136.7,0,0,0,0,0,0,0,0,1.821903575,0,0.564499379,0,0,0,1.257404196,0
2010,Myanmar,0,0,0,0,0,315.2,2391.5,0,0,1477,0,0,0,0,0,0,187.5,299508.9,0,0,12270,0,1200,46752.5,0,0,6160,120,14626,0,0,0,0,0,0,0,0,0.034701299,0,0.002511898,0,0.020376789,0,0.011812612,0
1980,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Namibia,43820,0,0,0,5100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181796947,0.181796947,0,0,0,0,0,0
2000,Namibia,34500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47430,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01061014,0,0,0,0.01061014,0,0,0
2010,Namibia,191600,0,0,0,12400,0,0,0,0,0,0,0,0,0,0,0,0,62765.2,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115656299,0.106074239,0,0,0.009582061,0,0,0
1950,Nepal,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Nepal,0,0,0,0,0,0,2010,0,0,100,0,0,0,0,0,0,0,100,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014912505,0,0.011027645,0,0.00388486,0,0,0
1970,Nepal,440000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,70,4774.8,0,0,51.3,0,0,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0.100844759,0.097646828,0,0,0.00319793,0,0,0
1980,Nepal,0,0,0,0,0,3500,54161.6,0,0,30500,0,0,0,0,0,0,200,62360.7,0,0,10549,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,1.807506282,0,1.431113975,0,0.363764205,0,0.012628103,0
1990,Nepal,0,0,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,6665,80970,0,0,23020,0,0,18.4,0,0,0,20,73.4,0,0,0,5400,5400,0,0,620,0.626968917,0,0,0,0.608740119,0,0,0
2000,Nepal,50300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557.5,208943.4,0,500,6872.9,0,0,0,0,0,0,8000,36688.4,0,0,0,0,0,0,0,0,0.060488459,0,0,0,0.060488459,0,0,0
2010,Nepal,0,0,0,0,0,0,581009.9,0,10000,517400,0,0,0,0,0,0,431.4,202463.5,0,0,81500,0,0,1502.9,0,0,0,0,801.2,0,0,1500,0,0,0,0,0,2.402184053,0,2.123904377,0.0000569,0.271624046,0.006598743,0,0
1950,Netherlands,0,0,,,,0,0,,,,0,0,0,,,,0,30000,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Netherlands,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1500,0,1030,61060,0,0,25010,0,126000,293210,0,0,0,0,0,0,0,0,0,0,0.095477749,0,0,0,0.014359724,0,0.081118024,0
2000,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,62500,85000,0,0,0,0,0,0,0,0,0,0,0.014310604,0,0,0.001459656,0,0,0.012850948,0
2010,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54500,99201.1,0,0,0,0,0,0,0,0,0,0,0.012420731,0,0,0,0,0,0.012420731,0
1950,Netherlands Antilles,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,70000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,New Caledonia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,New Caledonia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,New Caledonia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0.114021257,0,0,0,0,0,0.114021257,0
1970,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,20,0,0,0,0,0,0,0,0,0,0,0.00205642,0,0,0,0,0,0.00205642,0
1990,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,110,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,New Zealand,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,New Zealand,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
